mode,load,0_alexnet-32,1_mobilenet_v2-32,2_resnet101-4
mps-uncap,1.0,7.429714202880862,12.561340332031255,21.606359481811513
mig,1.0,6.465263366699219,21.93952560424805,11.910691261291504
