mode,load,0_densenet169-4,1_inception_v3-4,2_resnet34-8
mps-uncap,0.8,11.320352554321289,7.002377510070801,3.950834274291992
mps-uncap,0.9,12.274503707885742,6.55364990234375,4.028630256652833
mps-uncap,1.0,12.501358985900879,7.206916809082031,3.854060173034668
mps-uncap,0.5,12.60843276977539,8.66405963897705,4.55026626586914
mps-uncap,0.6,12.351727485656738,7.955789566040039,3.9212703704833984
mps-uncap,0.7,12.042474746704102,6.931734085083008,3.9114952087402344
mps-uncap,0.1,24.810218811035156,13.176488876342775,5.15589714050293
mps-uncap,0.2,18.587398529052734,13.109683990478516,4.9501895904541025
mps-uncap,0.3,17.86952018737793,12.054228782653809,4.949283599853516
mps-uncap,0.4,16.472339630126953,9.655237197875977,4.860401153564453
