mode,load,0_densenet169-4,1_inception_v3-4,2_resnet34-8
mps-uncap,0.8,12.799835205078125,7.673604488372803,4.192590713500977
mps-uncap,0.9,12.958416938781738,7.055521011352539,4.243886470794677
mps-uncap,1.0,12.73965835571289,7.398366928100586,4.0157151222228995
mps-uncap,0.5,17.400469779968265,9.84951972961426,4.949355125427246
mps-uncap,0.6,16.60748481750489,9.255237579345701,4.699647426605225
mps-uncap,0.7,13.406038284301758,8.79373550415039,4.18975353240967
mps-uncap,0.1,26.62676811218262,13.794012069702148,5.456438064575195
mps-uncap,0.2,26.51009559631347,13.77741813659668,5.233783721923828
mps-uncap,0.3,19.269428253173814,13.576869964599608,5.188546180725098
mps-uncap,0.4,18.084518909454346,12.418627738952637,5.2446985244750985
