mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_vgg16-8
mps-uncap,0.8,28.307199478149414,9.32765007019043,10.216236114501953
mps-uncap,0.9,30.062198638916016,9.398221969604492,10.398387908935547
mps-uncap,1.0,27.716875076293945,8.192062377929688,9.227275848388672
mps-uncap,0.5,26.95441246032715,8.57686996459961,9.89532470703125
mps-uncap,0.6,30.29799461364746,7.931947708129883,10.75291633605957
mps-uncap,0.7,27.663469314575195,9.152412414550781,10.33926010131836
mps-uncap,0.1,26.114225387573242,8.044004440307617,11.512279510498047
mps-uncap,0.2,23.588180541992188,8.610010147094727,10.760307312011719
mps-uncap,0.3,24.052143096923828,8.901596069335938,10.254383087158203
mps-uncap,0.4,24.119853973388672,9.040594100952148,11.760950088500977
