mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_vgg16-8
mps-uncap,0.8,30.3494930267334,9.250879287719727,22.070646286010742
mps-uncap,0.9,58.4568977355957,81.08067512512207,111.42659187316895
mps-uncap,1.0,236.82153224945068,4345.169305801392,3334.735155105591
mps-uncap,0.5,15.666007995605469,3.932833671569824,7.770061492919922
mps-uncap,0.6,20.923495292663574,3.7844181060791016,10.219097137451172
mps-uncap,0.7,21.733522415161133,5.075216293334961,13.510942459106445
mps-uncap,0.1,19.463062286376953,3.930807113647461,6.291747093200684
mps-uncap,0.2,18.9969539642334,3.9767026901245117,6.49571418762207
mps-uncap,0.3,17.985105514526367,3.9385557174682617,6.68025016784668
mps-uncap,0.4,16.245603561401367,3.9055347442626953,6.976842880249023
