mode,load,0_efficientnet_b6-32,1_resnet101-32,2_squeezenet1_0-2
mps-uncap,0.8,586.113691329956,301.69057846069336,139.6951675415039
mps-uncap,0.9,3397.376298904419,908.921480178833,257.7338218688965
mps-uncap,1.0,3307.2946071624756,4561.201333999634,5821.8231201171875
mps-uncap,0.5,133.84318351745605,84.14626121520996,29.949426651000977
mps-uncap,0.6,311.0222816467285,173.8274097442627,57.546138763427734
mps-uncap,0.7,420.5195903778076,154.39510345458984,56.27107620239258
mps-uncap,0.1,81.4981460571289,24.936199188232422,8.504867553710938
mps-uncap,0.2,59.212684631347656,37.70160675048828,11.859655380249023
mps-uncap,0.3,114.2427921295166,91.85981750488281,39.19553756713867
mps-uncap,0.4,127.18033790588379,79.54692840576172,30.505895614624023
