mode,load,0_densenet169-2,1_vgg11-16,2_vgg13-8
mps-uncap,0.8,18.636082709874444,1285.417311809218,648.9811911614942
mps-uncap,0.9,22.538738168132344,1451.7286097377337,719.0141426328111
mps-uncap,1.0,24.27609057284587,1657.0145316221501,830.3610025684272
mps-uncap,0.5,11.247404660598246,794.9775817146259,408.3403270629616
mps-uncap,0.6,13.253873448275042,971.0151906626006,496.81241034193533
mps-uncap,0.7,17.166102250790104,1165.4344830639698,577.1210678012384
mps-uncap,0.1,2.44344335394943,161.0913381712025,81.66586597799056
mps-uncap,0.2,4.390337461816799,337.4720032243388,160.33179327789244
mps-uncap,0.3,7.301155349692579,494.28597387302676,244.05705777842746
mps-uncap,0.4,9.426603549767343,646.5287227566158,321.56381478435213
