mode,load,0_densenet169-2,1_vgg11-16,2_vgg13-8
mps-uncap,0.8,203.51624488830566,92.41533279418945,106.50348663330078
mps-uncap,0.9,308.67576599121094,96.18449211120605,337.632417678833
mps-uncap,1.0,1621.4408874511719,645.6055641174316,593.2025909423828
mps-uncap,0.5,64.7439956665039,41.12696647644043,41.226863861083984
mps-uncap,0.6,106.92286491394043,54.29863929748535,62.074899673461914
mps-uncap,0.7,106.82225227355957,71.1355209350586,47.728776931762695
mps-uncap,0.1,26.276588439941406,18.539905548095703,11.565685272216797
mps-uncap,0.2,46.417236328125,17.943859100341797,14.195442199707031
mps-uncap,0.3,42.28401184082031,18.58377456665039,22.521018981933594
mps-uncap,0.4,45.84336280822754,23.267507553100586,30.076980590820312
