mode,load,0_densenet169-2,1_vgg11-16,2_vgg13-8
mps-uncap,0.8,0.06008148193359375,3.3867359161376953,2.784848213195801
mps-uncap,0.9,0.0591278076171875,7.541537284851074,7.6094865798950195
mps-uncap,1.0,395.3225612640381,258.72230529785156,282.2904586791992
mps-uncap,0.5,0.05841255187988281,0.04696846008300781,0.04744529724121094
mps-uncap,0.6,0.05805492401123047,0.0457763671875,0.046253204345703125
mps-uncap,0.7,0.057697296142578125,0.7971525192260742,0.0591278076171875
mps-uncap,0.1,0.06198883056640625,0.057697296142578125,0.0629425048828125
mps-uncap,0.2,0.06270408630371094,0.05054473876953125,0.0514984130859375
mps-uncap,0.3,0.06341934204101562,0.050067901611328125,0.049591064453125
mps-uncap,0.4,0.06222724914550781,0.049591064453125,0.04792213439941406
