mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_mobilenet_v3_small-2
mps-uncap,0.8,283.40307436312315,2716.678413318146,255.61314751531705
mps-uncap,0.9,337.74042251445087,3048.752073618111,288.44867670137927
mps-uncap,1.0,376.6626981328225,3311.351487620889,315.05177918041676
mps-uncap,0.5,190.63794019310566,1654.3096412471043,155.7649488378316
mps-uncap,0.6,217.1398378550947,1933.340912769019,185.254766659867
mps-uncap,0.7,254.61371021085787,2359.0496409026177,219.14767644277075
mps-uncap,0.1,37.31683660721663,312.8411276393951,32.47485887544017
mps-uncap,0.2,76.33391662513948,659.2288611125423,64.54276308304061
mps-uncap,0.3,114.17468553879269,996.4062630900042,92.75968126590551
mps-uncap,0.4,153.2482118322219,1331.042204671735,124.15104491661093
