mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_mobilenet_v3_small-2
mps-uncap,0.8,232.99264907836914,109.79580879211426,61.354637145996094
mps-uncap,0.9,615.9548759460449,198.5914707183838,103.87182235717773
mps-uncap,1.0,809.8640441894531,1956.2373161315918,515.2559280395508
mps-uncap,0.5,99.55000877380371,39.922475814819336,22.239208221435547
mps-uncap,0.6,175.87614059448242,42.29402542114258,24.631977081298828
mps-uncap,0.7,178.99680137634277,59.69858169555664,42.911529541015625
mps-uncap,0.1,24.880409240722656,11.449813842773438,10.919809341430664
mps-uncap,0.2,59.984683990478516,13.639450073242188,16.251087188720703
mps-uncap,0.3,58.85720252990723,29.23107147216797,16.663312911987305
mps-uncap,0.4,73.14682006835938,26.442527770996094,29.62970733642578
