mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_mobilenet_v3_small-2
mps-uncap,0.8,155.4955244064331,37.41078376770019,18.455982208251953
mps-uncap,0.9,266.8666839599609,82.66119956970213,35.69025993347168
mps-uncap,1.0,620.8223819732666,1731.1642169952393,300.0400543212893
mps-uncap,0.5,69.32830810546875,16.969132423400882,10.825848579406738
mps-uncap,0.6,82.99820423126229,19.26398277282715,11.838197708129883
mps-uncap,0.7,99.27887916564943,24.281787872314457,13.089489936828615
mps-uncap,0.1,33.67486000061035,8.538961410522461,6.739497184753418
mps-uncap,0.2,36.86513900756836,11.190128326416014,8.458614349365233
mps-uncap,0.3,51.513719558715835,13.024783134460451,9.460926055908203
mps-uncap,0.4,57.01279640197755,13.878536224365249,11.069393157958984
