mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_mobilenet_v3_small-2
mps-uncap,0.8,58.90679359436035,12.624025344848633,6.825447082519531
mps-uncap,0.9,87.91065216064453,27.203917503356934,11.69276237487793
mps-uncap,1.0,269.61374282836914,1035.2206230163574,65.77324867248535
mps-uncap,0.5,36.81373596191406,8.133649826049805,5.863547325134277
mps-uncap,0.6,38.14077377319336,8.449077606201172,5.772590637207031
mps-uncap,0.7,44.36755180358887,9.65893268585205,5.644559860229492
mps-uncap,0.1,27.191877365112305,7.438898086547852,6.098151206970215
mps-uncap,0.2,29.9990177154541,7.51495361328125,5.997776985168457
mps-uncap,0.3,30.253291130065918,7.386922836303711,5.835533142089844
mps-uncap,0.4,33.09488296508789,7.610678672790527,6.11424446105957
