mode,load,0_densenet121-8,1_resnet18-8,2_vgg16-2
mps-uncap,0.8,438.36502247004796,1670.8479043038442,466.2777252533803
mps-uncap,0.9,476.4526511184065,1902.2526970654467,513.8993520681768
mps-uncap,1.0,533.624462632328,2082.5346638254537,561.151150786618
mps-uncap,0.5,252.48115066371076,1028.3647130860595,282.70734900233515
mps-uncap,0.6,308.6226310440364,1241.5512210157349,346.11242901543574
mps-uncap,0.7,371.09755995377037,1457.8166874006074,398.04398835495743
mps-uncap,0.1,56.436221471674465,208.45187763157168,57.37200966288969
mps-uncap,0.2,105.78045025521988,416.0950818929103,115.47016621200872
mps-uncap,0.3,159.74355630512218,628.330135949141,175.32806772930428
mps-uncap,0.4,205.15633409921705,818.986226885264,226.06785652678585
