mode,load,0_densenet121-8,1_resnet18-8,2_vgg16-2
mps-uncap,0.8,45.37518024444582,9.22393798828125,11.25736236572266
mps-uncap,0.9,59.320950508117676,19.12002563476563,18.444013595581065
mps-uncap,1.0,1590.132474899292,49.274230003356934,74.26578998565675
mps-uncap,0.5,22.176551818847656,5.74946403503418,4.751062393188476
mps-uncap,0.6,22.044610977172855,6.504631042480469,5.800008773803711
mps-uncap,0.7,25.679445266723636,7.085633277893067,7.197928428649906
mps-uncap,0.1,18.300580978393555,3.322005271911621,2.6448726654052734
mps-uncap,0.2,21.144437789916996,3.5967350006103525,3.139162063598633
mps-uncap,0.3,22.729039192199707,4.570627212524414,3.707218170166016
mps-uncap,0.4,22.100496292114258,5.058169364929199,4.195737838745117
