mode,load,0_densenet169-2,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.8,45.84968090057373,16.183137893676758,12.202978134155273
mps-uncap,0.9,81.14373683929443,16.25800132751465,13.301610946655273
mps-uncap,1.0,83.6496353149414,16.283750534057617,13.51475715637207
mps-uncap,0.5,22.382259368896484,8.759498596191406,9.836435317993164
mps-uncap,0.6,24.178028106689453,11.87753677368164,10.214686393737793
mps-uncap,0.7,31.311511993408203,14.294743537902832,11.140584945678711
mps-uncap,0.1,31.517982482910156,8.56161117553711,9.604930877685547
mps-uncap,0.2,30.150413513183594,8.524179458618164,9.605884552001953
mps-uncap,0.3,25.186896324157715,8.459687232971191,9.523630142211914
mps-uncap,0.4,21.40355110168457,8.519649505615234,9.628057479858398
