mode,load,0_mobilenet_v2-8,1_mobilenet_v2-8
mig,0.1,0.04363059997558594,0.04315376281738281
mig,0.2,0.0457763671875,0.04482269287109375
mig,0.3,0.04887580871582031,0.04649162292480469
mig,0.4,0.26786327362060547,0.1888275146484375
mig,0.5,0.8851289749145508,0.43845176696777344
mig,0.6,1.9118785858154297,0.49567222595214844
mig,0.7,3.019094467163086,0.9315013885498047
mig,0.8,8.634567260742188,1.6776323318481445
mig,0.9,175.08244514465332,2.880096435546875
mig,1.0,2791.348457336426,4.740118980407715
