mode,load,0_densenet169-2,1_resnet34-32,2_squeezenet1_0-16
mps-uncap,0.8,12.538433074951172,16.19267463684082,5.670309066772461
mps-uncap,0.9,17.686963081359863,1010.0717544555664,1392.122745513916
mps-uncap,1.0,259.5975399017334,4235.074281692505,1698.4806060791016
mps-uncap,0.5,0.025510787963867188,0.024080276489257812,0.022172927856445312
mps-uncap,0.6,0.02384185791015625,1.4765262603759766,0.6837844848632812
mps-uncap,0.7,3.963947296142578,5.955338478088379,2.8383731842041016
mps-uncap,0.1,0.04124641418457031,0.040531158447265625,0.03981590270996094
mps-uncap,0.2,0.04029273986816406,0.029087066650390625,0.027894973754882812
mps-uncap,0.3,0.030994415283203125,0.028133392333984375,0.026941299438476562
mps-uncap,0.4,0.0286102294921875,0.025510787963867188,0.027894973754882812
