mode,load,0_densenet121-8,1_mobilenet_v3_large-32,2_squeezenet1_0-8
mps-uncap,0.8,55.17144203186036,112.84360885620117,44.08979415893555
mps-uncap,0.9,63.19272518157959,2782.0626497268677,2553.384566307068
mps-uncap,1.0,5223.497247695924,11829.828262329102,3660.773992538452
mps-uncap,0.5,29.33924198150635,19.17266845703125,7.565736770629884
mps-uncap,0.6,33.71694087982178,24.643898010253913,8.811640739440923
mps-uncap,0.7,49.50177669525147,33.461928367614746,12.927412986755371
mps-uncap,0.1,28.050684928894043,14.118814468383801,4.890155792236329
mps-uncap,0.2,27.862334251403812,17.766833305358887,6.392073631286622
mps-uncap,0.3,25.21185874938965,16.798257827758793,6.7516326904296875
mps-uncap,0.4,26.67500972747805,17.259049415588382,7.097911834716798
