mode,load,0_densenet121-8,1_mobilenet_v3_large-32,2_squeezenet1_0-8
mps-uncap,0.8,363.4773679216151,3187.5829060715687,1582.4493761339131
mps-uncap,0.9,378.9303243033387,3431.5738654100423,1723.1403857604025
mps-uncap,1.0,409.1387958660455,3270.8633454408555,1863.190279086856
mps-uncap,0.5,217.29961830811484,2053.581369082337,996.1219182941444
mps-uncap,0.6,259.7159072627402,2411.075403979402,1176.8579585279965
mps-uncap,0.7,295.3890514986549,2753.596583855254,1382.672926663391
mps-uncap,0.1,41.100267415757955,382.8572323736596,201.23472298358192
mps-uncap,0.2,83.98426788382727,774.7142965502454,396.3962228679912
mps-uncap,0.3,123.85115135262754,1150.030313059465,584.0510139746987
mps-uncap,0.4,172.51152860414723,1581.8918238698745,805.3999632512974
