mode,load,0_squeezenet1_0-8,1_vgg11-32,2_vgg11-4
mps-uncap,0.8,490.7092182874103,1980.5090435024565,246.1960429650415
mps-uncap,0.9,553.2763012957392,2195.3837368087875,281.317821727737
mps-uncap,1.0,600.6026366936698,2178.580941462506,305.34019125445144
mps-uncap,0.5,302.95723043678464,1214.1516182430664,154.39979281673905
mps-uncap,0.6,360.33070443184243,1457.2277804967844,185.62543924113908
mps-uncap,0.7,425.77790192479193,1702.6634865927645,215.39253642848647
mps-uncap,0.1,63.86736503841569,255.1638086426761,30.519568358753258
mps-uncap,0.2,125.12424688558407,488.3921039968239,61.90483406017956
mps-uncap,0.3,184.56830851431135,756.9672221112656,91.2212897120219
mps-uncap,0.4,230.0814135819412,967.922811613885,122.6968500358508
