mode,load,0_efficientnet_b7-8,1_inception_v3-4,2_vgg13-8
mps-uncap,0.8,16.162395477294922,4.930019378662109,4.431962966918945
mps-uncap,0.9,15.708446502685547,4.875659942626953,4.460334777832031
mps-uncap,1.0,22.408246994018555,4.918336868286133,4.441499710083008
mps-uncap,0.5,15.343427658081055,4.956960678100586,4.439592361450195
mps-uncap,0.6,15.537738800048828,4.88734245300293,4.428625106811523
mps-uncap,0.7,15.447854995727539,4.835367202758789,4.4193267822265625
mps-uncap,0.1,15.347719192504883,4.917144775390625,4.429817199707031
mps-uncap,0.2,15.30599594116211,5.133152008056641,4.418134689331055
mps-uncap,0.3,15.390396118164062,4.830360412597656,4.42814826965332
mps-uncap,0.4,15.29693603515625,4.972696304321289,4.431486129760742
