mode,load,0_efficientnet_b7-8,1_inception_v3-4,2_vgg13-8
mps-uncap,0.8,115.44266038833035,136.15489566844911,1027.310030571349
mps-uncap,0.9,130.67035059823573,147.9642292413819,1173.4078497330156
mps-uncap,1.0,140.668179551768,165.32340161141818,1309.1457587746836
mps-uncap,0.5,73.06106722143669,82.12350297119382,654.4895702078518
mps-uncap,0.6,85.34323447993852,99.79755642025857,778.3419555548018
mps-uncap,0.7,99.07697443012034,118.17413730893347,922.7536040613708
mps-uncap,0.1,15.536935304187102,16.670596746946558,131.27628730043375
mps-uncap,0.2,28.809048022976082,34.65397481876093,252.30484097984103
mps-uncap,0.3,45.55630401818197,48.0437185837576,376.17581600988666
mps-uncap,0.4,56.06642040993423,63.12625973516616,523.5814135738456
