mode,load,0_densenet121-32,1_resnet50-2,2_vgg19-16
mps-uncap,0.6,596.9522167004395,238.02994742068944,228.8935168644846
mig,0.6,561.3212503542638,236.77908642900428,224.04738548850426
mps-uncap,0.7,660.0428079109182,277.8137976854835,255.27250172273267
mig,0.7,640.9258569780661,279.11976395068916,264.2125084717754
mps-uncap,0.8,781.6693313918431,278.3083949210199,295.183088352251
mig,0.8,751.0278423385478,315.0993644910804,297.21222520390904
mps-uncap,0.9,884.5505993758522,255.5528515801138,343.43699284436286
mig,0.9,881.7350107157718,347.91219305363364,351.16853614008625
mps-uncap,1.0,949.7732403954346,236.17983839436374,384.2443340117551
mig,1.0,943.3954971534465,390.2534499314937,379.3556854186797
mps-uncap,1.1,1042.2667007009952,216.13307870589512,416.0417424006909
mig,1.1,957.9262789788754,398.0528568232873,380.30633050547436
mps-uncap,1.2,1055.4703537979408,203.13773473223924,446.76871920924617
mig,1.2,959.0972105357189,394.2947098964105,380.25561722685137
mps-uncap,1.3,1012.8261546368699,209.05319948327266,475.86914784568376
mig,1.3,957.8691692834852,386.2252514599274,381.4109154574711
