mode,load,0_densenet121-32,1_resnet50-2,2_vgg19-16
mps-uncap,0.6,21.210312843322754,4.941582679748535,14.451146125793457
mig,0.6,32.50241279602051,5.093097686767578,41.08154773712158
mps-uncap,0.7,21.881937980651855,4.887938499450684,14.666318893432617
mig,0.7,32.38821029663086,5.005359649658203,41.03207588195801
mps-uncap,0.8,22.003531455993652,5.06746768951416,15.152215957641602
mig,0.8,32.47785568237305,4.999876022338867,41.18824005126953
mps-uncap,0.9,22.386789321899414,5.347251892089844,15.543818473815918
mig,0.9,32.6923131942749,5.0487518310546875,41.39447212219238
mps-uncap,1.0,23.082256317138672,5.655884742736816,15.659093856811523
mig,1.0,32.845377922058105,5.0754547119140625,41.61477088928223
mps-uncap,1.1,23.53692054748535,6.705045700073242,15.889406204223633
mig,1.1,32.83214569091797,4.9762725830078125,41.67068004608154
mps-uncap,1.2,25.127291679382324,7.679224014282227,16.0292387008667
mig,1.2,32.895684242248535,5.025625228881836,41.67795181274414
mps-uncap,1.3,29.485702514648438,7.891178131103516,15.744686126708984
mig,1.3,32.862186431884766,5.130767822265625,41.6417121887207
