mode,load,0_densenet121-32,1_resnet50-2,2_vgg19-16
mps-uncap,0.6,33.040523529052734,10.762500762939457,18.891787528991703
mig,0.6,34.64031219482422,5.5210113525390625,42.260050773620605
mps-uncap,0.7,34.41469669342041,10.892176628112795,18.906497955322266
mig,0.7,34.65695381164551,5.295038223266602,42.33098030090332
mps-uncap,0.8,38.82994651794433,12.949609756469725,19.314289093017578
mig,0.8,34.8020076751709,5.241250991821289,42.510175704956055
mps-uncap,0.9,42.0229434967041,15.208244323730469,19.45972442626953
mig,0.9,34.95962619781494,5.276727676391602,42.716121673583984
mps-uncap,1.0,43.26272010803223,16.84770584106446,19.472742080688477
mig,1.0,34.981584548950195,5.269289016723633,42.88673400878906
mps-uncap,1.1,44.99487876892093,18.751811981201175,19.699573516845703
mig,1.1,34.931325912475586,5.162477493286133,43.01040172576904
mps-uncap,1.2,48.56939315795899,19.668102264404308,19.770455360412598
mig,1.2,34.99796390533447,5.215167999267578,42.967796325683594
mps-uncap,1.3,53.731441497802734,17.6508903503418,19.449996948242188
mig,1.3,35.150718688964844,5.3325653076171875,43.00546646118164
