mode,load,0_alexnet-8,1_efficientnet_b6-4,2_squeezenet1_0-4
mps-uncap,0.8,4127.746906433714,157.20138482464705,1144.2183478880715
mps-uncap,0.9,4575.954406443061,184.18305822444253,1296.2686856300668
mps-uncap,1.0,5052.6852862029555,204.9830838280794,1472.1073485612778
mps-uncap,0.5,2499.24185371418,101.31516992422306,731.5551710065359
mps-uncap,0.6,3062.883703182131,119.92852807170969,867.4830895121005
mps-uncap,0.7,3621.6053848811903,137.48607234268,1002.9643407938905
mps-uncap,0.1,518.7385364356805,21.20672451568236,147.5213513070114
mps-uncap,0.2,1047.4223147031203,40.13525261388276,289.300441196785
mps-uncap,0.3,1517.430064615814,60.19627918418295,428.32286896403104
mps-uncap,0.4,2059.6722959400618,80.94524797739741,573.3280616408921
