mode,load,0_alexnet-8,1_efficientnet_b6-4,2_squeezenet1_0-4
mps-uncap,0.8,2.143383026123047,21.9193696975708,2.664327621459961
mps-uncap,0.9,3.333568572998047,33.7672233581543,3.6051273345947266
mps-uncap,1.0,7.377982139587402,126.01399421691895,14.8773193359375
mps-uncap,0.5,1.3828277587890625,15.738487243652344,2.625703811645508
mps-uncap,0.6,1.466512680053711,15.885591506958008,2.6646852493286133
mps-uncap,0.7,1.739501953125,18.30613613128662,2.7000904083251953
mps-uncap,0.1,1.2879371643066406,24.258136749267578,2.5987625122070312
mps-uncap,0.2,1.28936767578125,18.41104030609131,2.5801658630371094
mps-uncap,0.3,1.3034343719482422,17.832398414611816,2.5827884674072266
mps-uncap,0.4,1.3430118560791016,17.37534999847412,2.6007890701293945
