mode,load,0_alexnet-8,1_efficientnet_b6-4,2_squeezenet1_0-4
mps-uncap,0.8,0.9713172912597656,10.520219802856445,1.163482666015625
mps-uncap,0.9,0.9722709655761719,10.449886322021484,1.1849403381347656
mps-uncap,1.0,0.9746551513671875,12.346506118774414,1.1630058288574219
mps-uncap,0.5,0.9791851043701172,10.230541229248047,1.1739730834960938
mps-uncap,0.6,0.9760856628417969,10.16378402709961,1.184701919555664
mps-uncap,0.7,1.0097026824951172,10.706186294555664,1.1713504791259766
mps-uncap,0.1,0.9799003601074219,10.712862014770508,1.1944770812988281
mps-uncap,0.2,0.9770393371582031,10.218381881713867,1.190185546875
mps-uncap,0.3,0.9782314300537109,10.120391845703125,1.190185546875
mps-uncap,0.4,0.9825229644775391,10.424613952636719,1.1904239654541016
