mode,load,0_efficientnet_b6-4,1_squeezenet1_0-32,2_vgg13-4
mps-uncap,0.8,0.058770179748535156,3.8781166076660156,1.4040470123291016
mps-uncap,0.9,22.14646339416504,10.2691650390625,5.132198333740234
mps-uncap,1.0,245.26548385620117,83.19973945617676,98.81758689880371
mps-uncap,0.5,0.057220458984375,0.04792213439941406,0.04172325134277344
mps-uncap,0.6,0.05316734313964844,0.04553794860839844,0.041961669921875
mps-uncap,0.7,0.05650520324707031,0.09751319885253906,0.04482269287109375
mps-uncap,0.1,0.06186962127685547,0.060677528381347656,0.049114227294921875
mps-uncap,0.2,0.06079673767089844,0.05364418029785156,0.04601478576660156
mps-uncap,0.3,0.058650970458984375,0.04935264587402344,0.04267692565917969
mps-uncap,0.4,0.0591278076171875,0.05030632019042969,0.043392181396484375
