mode,load,0_alexnet-2,1_resnet101-8,2_squeezenet1_1-32
mps-uncap,0.8,0.009059906005859375,0.0095367431640625,0.010728836059570312
mps-uncap,0.9,0.009298324584960938,0.012159347534179688,0.011920928955078125
mps-uncap,1.0,0.0095367431640625,0.014066696166992188,0.011444091796875
mps-uncap,0.5,0.0095367431640625,0.011920928955078125,0.0095367431640625
mps-uncap,0.6,0.009059906005859375,0.011205673217773438,0.008821487426757812
mps-uncap,0.7,0.008821487426757812,0.011444091796875,0.009059906005859375
mps-uncap,0.1,0.01239776611328125,0.014543533325195312,0.013828277587890625
mps-uncap,0.2,0.010728836059570312,0.011682510375976562,0.012636184692382812
mps-uncap,0.3,0.011444091796875,0.011444091796875,0.011205673217773438
mps-uncap,0.4,0.011205673217773438,0.012159347534179688,0.011205673217773438
