mode,load,0_alexnet-2,1_resnet101-8,2_squeezenet1_1-32
mps-uncap,0.8,922.7847436634249,436.1530537548923,4490.766762336224
mps-uncap,0.9,1020.402861227506,468.12819643944,4905.781162041923
mps-uncap,1.0,1136.4503273462894,461.88651118706883,4790.035632099459
mps-uncap,0.5,560.2911300452835,253.65222223092456,2856.063010172401
mps-uncap,0.6,679.0386277442066,310.0885609051991,3360.9187328011053
mps-uncap,0.7,805.5623106646751,366.73731715924595,3930.047763809978
mps-uncap,0.1,114.70999310176758,50.94022272476925,559.8887169031865
mps-uncap,0.2,229.09096337684494,105.10742705623734,1130.9880712269157
mps-uncap,0.3,338.63966217923877,158.39544284708566,1694.8222176346076
mps-uncap,0.4,457.6463088848072,215.51111474161772,2234.8439679661046
