mode,load,0_inception_v3-32,1_resnet152-32,2_resnet152-32
mps-uncap,0.8,11.281967163085938,27.33135223388672,27.49013900756836
mps-uncap,0.9,11.273384094238281,27.938365936279297,27.557849884033203
mps-uncap,1.0,25.103330612182617,58.527469635009766,59.99040603637695
mps-uncap,0.5,11.11602783203125,27.133703231811523,27.201414108276367
mps-uncap,0.6,11.095046997070312,27.32563018798828,27.202844619750977
mps-uncap,0.7,11.078357696533203,27.280330657958984,27.381181716918945
mps-uncap,0.1,13.231515884399414,27.36210823059082,27.53281593322754
mps-uncap,0.2,11.131048202514648,27.2214412689209,27.194976806640625
mps-uncap,0.3,11.07335090637207,27.024269104003906,27.10127830505371
mps-uncap,0.4,11.157512664794922,27.06599235534668,27.107715606689453
