mode,load,0_inception_v3-32,1_resnet152-32,2_resnet152-32
mps-uncap,0.8,0.010251998901367188,0.011682510375976562,0.01239776611328125
mps-uncap,0.9,0.012159347534179688,0.014066696166992188,0.012159347534179688
mps-uncap,1.0,0.013113021850585938,0.015497207641601562,0.02384185791015625
mps-uncap,0.5,0.011920928955078125,0.012159347534179688,0.011920928955078125
mps-uncap,0.6,0.011444091796875,0.011920928955078125,0.011682510375976562
mps-uncap,0.7,0.012159347534179688,0.011920928955078125,0.011682510375976562
mps-uncap,0.1,0.016450881958007812,0.011920928955078125,0.0152587890625
mps-uncap,0.2,0.014543533325195312,0.012874603271484375,0.011920928955078125
mps-uncap,0.3,0.012636184692382812,0.011444091796875,0.012159347534179688
mps-uncap,0.4,0.011682510375976562,0.01239776611328125,0.011205673217773438
