mode,load,0_inception_v3-32,1_resnet152-32,2_resnet152-32
mps-uncap,0.8,672.2612735478948,438.52365168027853,461.48215547174084
mps-uncap,0.9,716.5135345302376,498.66656765250843,501.2671753802285
mps-uncap,1.0,743.3546159130932,496.24737283709976,517.6892272028025
mps-uncap,0.5,417.2537794373379,283.80831781505816,280.42868593821925
mps-uncap,0.6,478.30697851578503,326.6422325201509,341.5271278652074
mps-uncap,0.7,546.2314046253136,380.7617215735215,407.5458368952311
mps-uncap,0.1,88.43835585954729,66.69187501300691,63.04030282748371
mps-uncap,0.2,158.18665665362337,105.03787504046157,102.39348534752202
mps-uncap,0.3,269.6734115147605,151.14622601728217,184.11024836647562
mps-uncap,0.4,349.62854838185393,217.1628493498102,229.99699903442013
