mode,load,0_densenet161-4,1_densenet161-4,2_densenet161-4,3_densenet161-4
mig,0.1,22.38631248474121,22.5067138671875,22.347331047058105,32.56797790527344
mig,0.2,17.545461654663086,17.859339714050293,17.70615577697754,32.60695934295654
mig,0.3,17.455697059631348,17.689824104309082,17.66383647918701,32.60672092437744
mig,0.4,17.414331436157227,17.66037940979004,17.622709274291992,32.5925350189209
mig,0.5,17.505884170532227,17.725229263305664,17.6694393157959,34.30509567260742
mig,0.6,22.346138954162598,24.112224578857422,25.411128997802734,36.83459758758545
mig,0.7,31.404614448547363,30.788183212280273,30.928373336791992,53.9400577545166
mig,0.8,41.35417938232422,35.95554828643799,37.85204887390137,68.30155849456787
mig,0.9,58.30109119415283,108.13367366790771,71.66433334350586,217.07189083099365
mig,1.0,246.83523178100586,445.13654708862305,191.79892539978027,2575.057864189148
