mode,load,0_vgg13-32,1_vgg13-32
mig,0.1,117.91729459542957,98.36669712400516
mig,0.2,206.10302039704877,177.9554720794567
mig,0.3,337.9594192050029,277.49168946503164
mig,0.4,422.52212490384096,369.79122786746797
mig,0.5,586.0701077196678,469.37602154321877
mig,0.6,676.1060356069672,538.6467007300766
mig,0.7,812.1985409248459,636.8579607422081
mig,0.8,907.5945992684857,807.0415625054593
mig,0.9,1026.7769980107946,856.7770688307794
mig,1.0,1130.9397802526767,917.6632604530532
