mode,load,0_vgg13-32,1_vgg13-32
mig,0.1,0.014066696166992188,0.015735626220703125
mig,0.2,0.014066696166992188,0.0152587890625
mig,0.3,0.013589859008789062,0.015497207641601562
mig,0.4,0.013113021850585938,0.01430511474609375
mig,0.5,0.012159347534179688,0.0133514404296875
mig,0.6,0.01239776611328125,0.013828277587890625
mig,0.7,0.013589859008789062,0.013828277587890625
mig,0.8,0.010728836059570312,0.014066696166992188
mig,0.9,0.013828277587890625,0.015020370483398438
mig,1.0,0.014781951904296875,0.015497207641601562
