mode,load,0_efficientnet_b6-4,1_resnet50-4,2_vgg11-2
mps-uncap,0.8,158.94603943020144,474.3870499258184,707.1570024442725
mps-uncap,0.9,177.16265197824268,554.3590526923626,762.5325711144403
mps-uncap,1.0,198.77802018616995,604.1518521263955,868.1026338514185
mps-uncap,0.5,102.00022703560491,300.20208491485255,428.61831742965245
mps-uncap,0.6,118.07352860052694,361.05163691954954,518.8991246711888
mps-uncap,0.7,142.80679189342592,413.2619826290732,587.2309773135152
mps-uncap,0.1,18.526533129400082,60.65023536147082,84.47554895514777
mps-uncap,0.2,40.395337937904955,118.9350990707297,175.7759515909475
mps-uncap,0.3,61.813559891975785,184.73073396382415,261.287954343819
mps-uncap,0.4,77.21287005176666,230.1587346867057,339.0533992553833
