mode,load,0_densenet161-4,1_mobilenet_v3_large-2,2_squeezenet1_0-8
mps-uncap,0.8,13.742923736572266,3.076314926147461,2.2994279861450195
mps-uncap,0.9,14.351606369018555,3.2596588134765625,2.331972122192383
mps-uncap,1.0,15.920639038085938,3.1728744506835938,2.3849010467529297
mps-uncap,0.5,12.03298568725586,3.1728744506835938,2.244710922241211
mps-uncap,0.6,12.147903442382812,3.006458282470703,2.2025108337402344
mps-uncap,0.7,12.6953125,3.0202865600585938,2.2225379943847656
mps-uncap,0.1,19.03355121612549,7.080316543579102,2.4535655975341797
mps-uncap,0.2,16.922473907470703,6.806135177612305,2.364635467529297
mps-uncap,0.3,15.561938285827637,4.793882369995117,2.351999282836914
mps-uncap,0.4,12.703418731689453,4.585981369018555,2.3975372314453125
