mode,load,0_vgg16-4,1_densenet169-4,2_resnet34-32
mps-uncap,1.0,607.1022243979045,114.89765370337992,2410.1617750676064
mig,1.0,562.3870032352486,236.37023856860435,1368.7818064988905
