mode,load,0_resnet152-32,1_resnet152-32
mig,0.1,0.04410743713378906,0.043392181396484375
mig,0.2,0.032067298889160156,0.030875205993652344
mig,0.3,0.03266334533691406,0.04076957702636719
mig,0.4,0.0362396240234375,0.0438690185546875
mig,0.5,0.045418739318847656,23.804426193237305
mig,0.6,19.41657066345215,51.32901668548584
mig,0.7,50.9568452835083,62.39652633666992
mig,0.8,98.70624542236328,1477.5331020355225
mig,0.9,302.6094436645508,5361.927032470703
mig,1.0,1529.245138168335,6544.2821979522705
