mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,3241.541686611877,609.4150197474963,823.9813999111399
mps-uncap,0.9,3751.27101491201,668.6969454651975,914.4292150611838
mps-uncap,1.0,4123.166680123302,769.0612735805779,1021.7341311968943
mps-uncap,0.5,2004.968370102481,376.04631595585016,488.4468130510573
mps-uncap,0.6,2416.8342709608323,466.85084969699295,611.0944720172574
mps-uncap,0.7,2862.0368789334025,532.9689591233663,708.5925758100448
mps-uncap,0.1,406.16431647533926,84.34931378880803,105.54095459391176
mps-uncap,0.2,846.1050705681623,160.2918842133674,197.69114956460203
mps-uncap,0.3,1155.0247324811369,232.26840954082155,305.35337539539324
mps-uncap,0.4,1652.7859493239262,304.62389424695033,392.7141833473836
