mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,4.801750183105469,2.683401107788086,3.8292407989501953
mps-uncap,0.9,4.827976226806641,2.679109573364258,3.8292407989501953
mps-uncap,1.0,4.812002182006836,2.699613571166992,3.832101821899414
mps-uncap,0.5,4.803657531738281,2.6776790618896484,3.8149356842041016
mps-uncap,0.6,4.831075668334961,2.684354782104492,3.8175582885742188
mps-uncap,0.7,4.796028137207031,2.6531219482421875,3.8373470306396484
mps-uncap,0.1,4.810333251953125,2.7823448181152344,3.8230419158935547
mps-uncap,0.2,4.83250617980957,2.730131149291992,3.8094520568847656
mps-uncap,0.3,4.823207855224609,2.7213096618652344,3.8187503814697266
mps-uncap,0.4,4.806756973266602,2.660989761352539,3.8123130798339844
