mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,4.161834716796875,1.768350601196289,3.1299591064453125
mps-uncap,0.9,9.72282886505127,4.987239837646484,6.851911544799805
mps-uncap,1.0,80.6875228881836,35.59529781341553,225.33440589904785
mps-uncap,0.5,0.049114227294921875,0.045299530029296875,0.04601478576660156
mps-uncap,0.6,0.04863739013671875,0.2028942108154297,0.041961669921875
mps-uncap,0.7,1.1169910430908203,0.7767677307128906,0.7660388946533203
mps-uncap,0.1,0.055789947509765625,0.05245208740234375,0.055789947509765625
mps-uncap,0.2,0.05340576171875,0.04744529724121094,0.049114227294921875
mps-uncap,0.3,0.051140785217285156,0.049591064453125,0.04982948303222656
mps-uncap,0.4,0.04935264587402344,0.04792213439941406,0.050067901611328125
