mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,10.620951652526855,5.793571472167969,9.155869483947754
mps-uncap,0.9,16.70706272125244,9.60230827331543,13.690352439880371
mps-uncap,1.0,88.17005157470703,40.351033210754395,232.98442363739014
mps-uncap,0.5,7.344961166381836,6.330966949462891,7.358074188232422
mps-uncap,0.6,7.369279861450195,5.581378936767578,7.30133056640625
mps-uncap,0.7,7.574558258056641,5.450725555419922,7.796287536621094
mps-uncap,0.1,7.444858551025391,7.664203643798828,7.1364641189575195
mps-uncap,0.2,7.491111755371094,7.081270217895508,6.810665130615234
mps-uncap,0.3,7.465481758117676,7.238149642944336,7.262229919433594
mps-uncap,0.4,7.200002670288086,6.841778755187988,7.385969161987305
