mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,7.5550079345703125,5.536317825317383,7.970929145812988
mps-uncap,0.9,7.69805908203125,6.125450134277344,7.811188697814941
mps-uncap,1.0,7.788372039794922,6.48500919342041,8.068203926086426
mps-uncap,0.5,7.5572967529296875,6.642770767211914,7.706403732299805
mps-uncap,0.6,7.494473457336426,5.978059768676759,7.593965530395508
mps-uncap,0.7,7.439374923706055,5.6209564208984375,7.901906967163086
mps-uncap,0.1,7.892370223999023,8.042573928833008,7.529330253601074
mps-uncap,0.2,7.927656173706055,7.434344291687012,7.542872428894043
mps-uncap,0.3,7.868480682373048,7.533359527587891,7.703304290771484
mps-uncap,0.4,7.431316375732422,7.306814193725586,7.851266860961914
