mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,68.85504722595215,55.41062355041504,70.35708427429199
mps-uncap,0.9,119.72665786743164,62.5920295715332,98.74677658081055
mps-uncap,1.0,512.8722190856934,323.4438896179199,696.9003677368164
mps-uncap,0.5,33.54692459106445,26.991605758666992,25.44260025024414
mps-uncap,0.6,45.94564437866211,24.940967559814453,27.625322341918945
mps-uncap,0.7,38.24901580810547,32.999515533447266,42.50001907348633
mps-uncap,0.1,11.52181625366211,15.429019927978516,9.627819061279297
mps-uncap,0.2,15.697717666625977,20.005226135253906,14.231681823730469
mps-uncap,0.3,17.99321174621582,24.554729461669922,26.675939559936523
mps-uncap,0.4,23.346900939941406,33.29634666442871,30.449867248535156
