mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,4.822492599487305,2.7303695678710938,3.8483142852783203
mps-uncap,0.9,4.851341247558594,2.7151107788085938,3.846883773803711
mps-uncap,1.0,4.852771759033203,2.7379989624023438,3.8487911224365234
mps-uncap,0.5,4.825830459594727,2.725839614868164,3.837108612060547
mps-uncap,0.6,4.853010177612305,2.7344226837158203,3.8344860076904297
mps-uncap,0.7,4.8160552978515625,2.689838409423828,3.854036331176758
mps-uncap,0.1,4.82940673828125,2.8564929962158203,3.854513168334961
mps-uncap,0.2,4.855871200561523,2.7511119842529297,3.821134567260742
mps-uncap,0.3,4.846334457397461,2.735137939453125,3.8347244262695312
mps-uncap,0.4,4.827260971069336,2.700328826904297,3.8285255432128906
