mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,52.16408967971814,26.43332481384279,45.0207543373108
mps-uncap,0.9,90.0176191329956,47.25432395935058,81.75573348999018
mps-uncap,1.0,459.88378524780273,271.3450336456299,673.8114237785338
mps-uncap,0.5,23.062605857849125,20.54551601409913,20.931351184844964
mps-uncap,0.6,27.126970291137738,18.262557983398438,24.241800308227486
mps-uncap,0.7,31.238632202148445,21.459856033325185,31.213088035583542
mps-uncap,0.1,13.244462013244625,16.08805656433108,13.129189014434813
mps-uncap,0.2,16.249477863311768,17.489902973175013,15.150918960571289
mps-uncap,0.3,18.871004581451416,21.247992515563976,18.41309785842899
mps-uncap,0.4,18.750853538513194,21.03789567947387,20.26566982269287
