mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,6.914615631103516,3.8819313049316406,7.07399845123291
mps-uncap,0.9,7.320046424865723,4.570484161376953,7.200479507446289
mps-uncap,1.0,7.638692855834961,4.718542098999023,7.731437683105469
mps-uncap,0.5,6.726741790771484,4.770517349243164,6.385564804077148
mps-uncap,0.6,6.505370140075684,4.518747329711914,6.192207336425781
mps-uncap,0.7,6.407260894775391,4.03141975402832,6.157279014587402
mps-uncap,0.1,7.335186004638672,7.391214370727539,6.949424743652344
mps-uncap,0.2,7.26318359375,6.761789321899414,6.642341613769531
mps-uncap,0.3,7.142305374145508,6.667137145996094,6.833672523498535
mps-uncap,0.4,6.791591644287109,5.831480026245117,6.884098052978516
