mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,7.747220993041992,6.531190872192385,8.664023876190186
mps-uncap,0.9,7.841203212738037,6.949234008789062,8.365225791931152
mps-uncap,1.0,7.897109985351562,6.775050163269043,8.707344532012938
mps-uncap,0.5,8.102893829345703,7.642087936401368,8.258855342864988
mps-uncap,0.6,7.796833515167236,6.952323913574219,8.151230812072752
mps-uncap,0.7,7.675027847290039,6.623792648315429,8.622536659240723
mps-uncap,0.1,8.421039581298826,8.37697982788086,8.359220027923584
mps-uncap,0.2,8.418083190917969,8.013601303100584,8.139500617980957
mps-uncap,0.3,8.3168363571167,7.959399223327637,8.354187011718754
mps-uncap,0.4,7.962164878845214,7.885143756866456,8.396081924438477
