mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-4,2_resnet50-8
mps-uncap,0.8,76.29895210266113,60.04667282104492,75.10542869567871
mps-uncap,0.9,124.63498115539551,66.94602966308594,106.19139671325684
mps-uncap,1.0,520.5190181732178,329.8912048339844,704.4811248779297
mps-uncap,0.5,38.660526275634766,31.499862670898438,29.730558395385742
mps-uncap,0.6,51.25832557678223,27.849674224853516,33.1575870513916
mps-uncap,0.7,45.873165130615234,37.33658790588379,50.31085014343262
mps-uncap,0.1,18.067121505737305,22.834062576293945,15.894651412963867
mps-uncap,0.2,22.658586502075195,25.056123733520508,20.26534080505371
mps-uncap,0.3,25.140047073364258,28.830289840698242,31.5091609954834
mps-uncap,0.4,30.57861328125,36.69857978820801,36.801815032958984
