mode,load,0_vgg16-4,1_vgg16-4
mig,0.1,0.01049041748046875,0.010967254638671875
mig,0.2,0.010967254638671875,0.011444091796875
mig,0.3,0.01049041748046875,0.010251998901367188
mig,0.4,0.011205673217773438,0.008821487426757812
mig,0.5,0.009775161743164062,0.010251998901367188
mig,0.6,0.008344650268554688,0.0095367431640625
mig,0.7,0.009059906005859375,0.010013580322265625
mig,0.8,0.0095367431640625,0.010013580322265625
mig,0.9,0.009298324584960938,0.011920928955078125
mig,1.0,0.009298324584960938,0.010728836059570312
