mode,load,0_alexnet-8,1_efficientnet_b5-4,2_vgg16-2
mps-uncap,0.8,4.930830001831055,38.57924938201904,9.503602981567383
mps-uncap,0.9,8.403921127319338,80.44612407684326,17.526531219482422
mps-uncap,1.0,27.54824161529541,497.2393274307251,42.10529327392579
mps-uncap,0.5,2.5436878204345703,25.675010681152337,4.956841468811035
mps-uncap,0.6,3.205132484436035,24.837255477905273,5.839824676513672
mps-uncap,0.7,3.6341905593872075,28.61156463623046,6.902503967285162
mps-uncap,0.1,1.5681028366088867,23.80514144897461,2.677178382873535
mps-uncap,0.2,1.6806125640869143,24.981045722961447,3.0753612518310547
mps-uncap,0.3,2.073550224304201,25.343656539916996,3.652191162109375
mps-uncap,0.4,2.3779869079589844,25.79474449157715,4.27548885345459
