mode,load,0_squeezenet1_1-2,1_vgg16-4,2_vgg19-8
mps-uncap,0.8,8.20012092590332,15.331983566284181,23.515129089355455
mps-uncap,0.9,19.908666610717773,37.393021583557164,70.11003494262695
mps-uncap,1.0,146.97084426879886,250.87664127349856,228.802514076233
mps-uncap,0.5,2.1359920501708984,3.564381599426269,6.819009780883789
mps-uncap,0.6,3.025531768798828,5.306720733642578,9.340858459472658
mps-uncap,0.7,4.721450805664064,8.419179916381868,14.441728591918947
mps-uncap,0.1,0.06604194641113281,0.06723403930664062,0.06985664367675781
mps-uncap,0.2,0.06270408630371094,0.06937980651855469,2.3708343505859344
mps-uncap,0.3,0.8407115936279302,1.4259815216064453,4.336667060852051
mps-uncap,0.4,1.5509605407714853,2.3819446563720703,5.477023124694823
