mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,7.3773932456970215,5.8930230140686035,6.639285087585449
mig,1.0,8.821187019348145,4.932281970977781,3.8656044006347647
