mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,5138.899987857625,1906.8465971169553,384.85193316934084
mig,1.0,4072.1697259951825,1842.319076928068,546.877047074889
