mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,5.217075347900391,2.6159286499023438,3.39508056640625
mig,1.0,6.976127624511719,4.052639007568359,3.567218780517578
