mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,6.883692741394043,5.399942398071289,6.349086761474609
mig,1.0,8.351755142211914,4.543066024780273,3.7260055541992188
