mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,17.704486846923828,16.4031982421875,17.55356788635254
mig,1.0,17.25006103515625,12.422800064086914,12.564659118652344
