mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,7.37715482711792,5.8930230140686035,6.639046669006348
mig,1.0,8.821125030517576,4.932084083557128,3.8654899597167955
