mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,6.108999252319336,4.168987274169922,5.264759063720703
mig,1.0,7.7800750732421875,4.283666610717773,3.6382675170898438
