mode,load,0_squeezenet1_1-32,1_resnet18-8,2_resnet34-2
mps-uncap,1.0,6.883454322814941,5.399942398071289,6.349039077758789
mig,1.0,8.351659774780273,4.543066024780273,3.7260055541992188
